rank,fiscal_year,posting_date,agency,category1,payee,appropriation_1_name,amount,risk_score,markers,verify_status,overtaker_interest,public_context
511,2018,2018-03-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,20623304.1700,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
512,2024,2023-11-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,20145694.7000,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
513,2025,2024-12-30,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,19346901.1500,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
514,2024,2023-09-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,18926278.5600,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
515,2023,2023-05-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,18555184.2800,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
516,2017,2016-09-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,18127540.2900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
517,2023,2023-06-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,18066917.6400,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
518,2024,2024-03-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,17671440.1600,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
519,2018,2017-09-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,17406410.9900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
520,2024,2023-07-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,17267545.7900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
521,2018,2018-01-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,16883257.5000,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
522,2018,2017-08-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,16872896.2900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
523,2025,2024-10-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,16866154.4800,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
524,2018,2017-12-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,16667026.1100,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
525,2024,2024-01-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,15379767.5000,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
526,2024,2024-04-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,15202476.0100,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
527,2018,2017-11-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,14907338.9100,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
528,2024,2023-11-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,HIGHWAY CONSTRUCTION,14335745.4600,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
529,2024,2023-09-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,13950207.1500,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
530,2023,2023-01-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,13779060.6000,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
531,2023,2023-03-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,13211943.5900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
532,2018,2017-07-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,13028273.3900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
533,2023,2022-11-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,12923995.6600,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
534,2024,2024-05-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,12544184.7400,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
535,2023,2023-04-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,12387821.6500,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
536,2024,2023-08-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,11998857.6800,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
537,2024,2024-02-20,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,11584891.5600,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
538,2025,2024-09-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,11442698.4500,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
539,2023,2022-12-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,11361597.3400,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
540,2023,2023-02-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,11360796.6800,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
541,2023,2022-09-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,10254722.9500,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
542,2017,2016-09-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,10203514.7900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
543,2023,2022-12-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FISHER SAND AND GRAVEL CO,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,9702879.7400,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
544,2016,2016-06-20,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,"REXCO, LLC",FEDERAL AID,9475547.8400,7.8,"peer_outlier,no_contract_named,offcontract",screened_unreviewed,,
545,2023,2022-07-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,9413686.2900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
546,2023,2022-10-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,9368525.5800,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
547,2025,2024-08-29,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SUNDT CONSTRUCTION INC,FEDERAL AID,9209315.3700,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Sundt Construction is a major employee-owned general contractor headquartered in Tempe, Arizona (founded 1890), and one of the largest builders in the Southwest, with a long history of Arizona Department of Transportation highway and freeway work."
548,2023,2023-02-27,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,COFFMAN AMES JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,9135726.0200,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Coffman Ames Joint Venture (involving Ames Construction, a major national heavy-civil contractor) was ADOT's design-build prime contractor for the approximately $185M Loop 101 (Pima Freeway) widening project from I-17 to Pima Road, which began in February 2019. Ames is also part of the Connect 202 Partners JV on the Loop 202 South Mountain Freeway."
549,2025,2024-10-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,8946550.5500,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
550,2024,2023-08-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,8798290.6900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
551,2024,2024-02-20,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,GRANITE CONSTRUCTION CO,FEDERAL AID,8678654.2400,7.8,"peer_outlier,no_contract_named,offcontract",false_positive_marker,2,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected."
552,2025,2024-09-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SUNDT CS A JOINT VENTURE,FEDERAL AID,8503240.2600,7.8,"peer_outlier,no_contract_named,offcontract",mixed,3,"Sundt Construction is a large employee-owned, Arizona-headquartered general/heavy-civil contractor (founded 1890); 'CS A JOINT VENTURE' denotes a project-specific JV it forms for ADOT freeway/transportation work."
553,2024,2024-03-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,GRANITE CONSTRUCTION CO,FEDERAL AID,8376537.3000,7.8,"peer_outlier,no_contract_named,offcontract",false_positive_marker,2,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected."
554,2023,2022-11-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FISHER SAND AND GRAVEL CO,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,8336063.2600,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
555,2023,2022-08-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,8025906.0800,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
556,2024,2024-06-05,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FISHER SAND AND GRAVEL CO,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,7946055.1700,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
557,2023,2023-06-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FISHER SAND AND GRAVEL CO,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,7893923.4900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
558,2021,2020-07-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,COFFMAN AMES JOINT VENTURE,FEDERAL AID,7826707.3900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Coffman Ames Joint Venture (involving Ames Construction, a major national heavy-civil contractor) was ADOT's design-build prime contractor for the approximately $185M Loop 101 (Pima Freeway) widening project from I-17 to Pima Road, which began in February 2019. Ames is also part of the Connect 202 Partners JV on the Loop 202 South Mountain Freeway."
559,2024,2023-08-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,7500736.5700,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
560,2021,2021-04-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,FEDERAL AID,7493687.3200,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
561,2024,2024-02-20,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,7484907.4000,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
562,2024,2023-11-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,GRANITE CONSTRUCTION CO,HIGHWAY CONSTRUCTION,7450313.3600,7.8,"peer_outlier,no_contract_named,offcontract",false_positive_marker,2,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected."
563,2017,2016-09-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,7261247.0200,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
564,2017,2016-10-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,M-RARF CONSTRUCT FREEWAYS  OTH RT 56-2,7253831.3100,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
565,2024,2023-12-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,REPAVE SR 95 IN MOHAVE CTY - 3,7253024.6000,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
566,2017,2016-10-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,7062313.1000,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
567,2017,2016-07-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,6940899.1600,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
568,2025,2024-10-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SUNDT CONSTRUCTION INC,FEDERAL AID,6902554.3300,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Sundt Construction is a major employee-owned general contractor headquartered in Tempe, Arizona (founded 1890), and one of the largest builders in the Southwest, with a long history of Arizona Department of Transportation highway and freeway work."
