entity_name,names_merged,n_vendor_ids,hv_txn,hv_exposure,n_flagged,flagged_exposure,n_tier1,usd_tier1,n_tier2,top_tier,max_risk_score,first_year,last_year,n_agencies,agencies,top_markers,verify_verdict,overtaker_interest,public_context,entity_key
MERCURY PARTNERS LP,1,1,1,253431,1,253431,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,MERCURY PARTNERS LP
ROSS AERIAL EQUIPMENT LLC,1,1,1,182395,1,182395,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,ROSS AERIAL EQUIPMENT LLC
HIEN TRONG MA,1,1,1,251910,1,251910,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,HIEN TRONG MA
MP NEXLEVEL,1,2,4,805853,4,805853,0,,1,2,6.5,2018,2021,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,MP NEXLEVEL
RUSKIN R LINES JR,1,1,1,941307,1,941307,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,RUSKIN R LINES JR
C S CONSTRUCTION INC,2,4,179,50334468,104,30751317,0,,2,2,6.5,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar|no_contract_named|true_duplicate,,,,C S CONSTRUCTION INC
PARKINSON TECHNOLOGIES INC.,1,1,3,358432,3,358432,0,,3,2,6.5,2017,2018,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|whole_dollar,,,,PARKINSON TECHNOLOGIES INC.
DDCFRJ INVESTMENTS LP,1,1,3,605836,2,353750,0,,1,2,6.5,2018,2019,1,DEPT OF CHILD SAFETY,whole_dollar|offcontract,,,,DDCFRJ INVESTMENTS LP
CARVER MOUNTAIN ENTERPRISES,1,1,2,879314,2,879314,0,,1,2,6.5,2017,2018,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,CARVER MOUNTAIN ENTERPRISES
WISCONSIN OVEN CORPORATION,1,1,1,107140,1,107140,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,WISCONSIN OVEN CORPORATION
UNION PACIFIC RAILROAD,1,2,19,3361762,9,1577038,0,,1,2,6.5,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,UNION PACIFIC RAILROAD
PAUL ANDERSON LINES,1,1,1,941307,1,941307,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,PAUL ANDERSON LINES
"INVESTMENT CASTING EQUIPMENT\, LTD",1,1,4,831595,4,831595,0,,4,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,"INVESTMENT CASTING EQUIPMENT\, LTD"
COMPUTERSHARE HOLDINGS INC.,1,1,1,177138,1,177138,0,,1,2,6.5,2016,2016,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract,,,,COMPUTERSHARE HOLDINGS INC.
STEWART TITLE & TRUST OF PHOENIX INC,1,1,24,4322507,23,4175271,0,,12,2,6.5,2016,2016,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,STEWART TITLE & TRUST OF PHOENIX INC
6781 OUTLOOK LLC,1,1,1,120307,1,120307,0,,1,2,6.5,2023,2023,1,DEPT OF FORESTRY AND FIRE MANAGEMENT,new_vendor_large|offcontract,,,,6781 OUTLOOK LLC
APACHE EQUIPMENT CORPORATION,1,1,1,273057,1,273057,0,,1,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,APACHE EQUIPMENT CORPORATION
J BANICKI CONSTRUCTION INC,2,2,134,58187999,100,44758429,0,,2,2,6.5,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar,,,,J BANICKI CONSTRUCTION INC
PACIFIC KILN & INSULATIONS CO. INC.,1,1,7,1342332,7,1342332,0,,2,2,6.5,2017,2018,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,PACIFIC KILN & INSULATIONS CO. INC.
WALTER INVESTMENT MANAGEMENT CORP.,1,1,1,225000,1,225000,0,,1,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract,,,,WALTER INVESTMENT MANAGEMENT CORP.
VULCAN ENGINEERING COMPANY INC,1,1,4,2016254,4,2016254,0,,2,2,6.5,2017,2018,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,VULCAN ENGINEERING COMPANY INC
CHEUVRONT CONSTRUCTION INC,1,1,3,570098,3,570098,0,,2,2,6.5,2021,2021,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,CHEUVRONT CONSTRUCTION INC
INTERMOUNTAIN SLURRY SEAL INC,1,1,9,4749179,3,1839208,0,,3,2,6.5,2018,2020,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,INTERMOUNTAIN SLURRY SEAL INC
A J ROBERTS INDUSTRIAL INC,1,2,48,8071882,18,3082980,0,,1,2,6.5,2016,2025,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract,,,,A J ROBERTS INDUSTRIAL INC
JVI ARIZONA LLC,1,1,4,676043,4,676043,0,,3,2,6.5,2017,2018,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,JVI ARIZONA LLC
MCCARTHY BROTHERS CO,1,1,1,198683,1,198683,0,,1,2,6.5,2016,2016,1,DEPT OF CORRECTIONS,whole_dollar|offcontract,,,,MCCARTHY BROTHERS CO
"METCAST SERVICE TECH RESOURCES, INC.",1,1,2,411974,2,411974,0,,2,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,"METCAST SERVICE TECH RESOURCES, INC."
ELLISON MACHINERY COMPANY,1,1,2,269032,2,269032,0,,2,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,ELLISON MACHINERY COMPANY
INDUCTOTHERM CORP.,1,1,3,863128,3,863128,0,,3,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,INDUCTOTHERM CORP.
TECHNOLOGY CONSTRUCTION INC,1,3,57,15562639,41,11950902,0,,2,2,6.5,2016,2025,3,DEPT OF EMERGENCY AND MILITARY AFFAIRS|PARKS BOARD|DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,TECHNOLOGY CONSTRUCTION INC
MORAN AND SONS LUMBER CO INC,1,1,2,301389,1,155800,0,,1,2,6.5,2018,2019,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract,,,,MORAN AND SONS LUMBER CO INC
BLUE BEACON USA LPII,1,1,1,130942,1,130942,0,,1,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,BLUE BEACON USA LPII
CHRISTOPHER ARTHUR LINES,1,1,1,941307,1,941307,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,CHRISTOPHER ARTHUR LINES
PAVECO INC,2,2,67,37834030,47,29639933,0,,3,2,6.5,2017,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar|new_vendor_large,,,,PAVECO INC
GREY MOUNTAIN CONSTRUCTION LLC,1,1,31,9687820,19,5233950,0,,1,2,6.5,2016,2018,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,GREY MOUNTAIN CONSTRUCTION LLC
BBC LONGVIEW LLC,1,1,1,350000,1,350000,0,,1,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,BBC LONGVIEW LLC
"EMSCO\, INC.",1,1,2,497445,2,497445,0,,2,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,"EMSCO\, INC."
SHOW LOW CONSTRUCTION INC,1,2,157,45338177,108,30490663,0,,3,2,6.5,2016,2025,2,GAME AND FISH DEPARTMENT|DEPT OF TRANSPORTATION,offcontract|whole_dollar|no_contract_named,,,,SHOW LOW CONSTRUCTION INC
CRANE AND HOIST OF ARIZONA INC,1,1,2,328019,2,328019,0,,2,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,CRANE AND HOIST OF ARIZONA INC
SD CRANE BUILDER INC,1,2,325,69538569,62,11865879,0,,2,2,6.5,2016,2025,16,DEPT OF ENVIRONMENTAL QUALITY|COURT OF APPEALS|DEPT OF TRANSPORTATION|DEPT OF CORRECTIONS|DEPT OF JUVENILE CORRECTIONS|SCHOOLS FOR THE DEAF AND THE BLIND|DEPT OF ADMINISTRATION|DEPT OF PUBLIC SAFETY|DEPT OF ECONOMIC SECURITY|DEPT OF EMERGENCY AND MILITARY AFFAIRS|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA|PARKS BOARD|LOTTERY COMMISSION|DEPT OF HEALTH SERVICES|DEPT OF VETERANS SERVICES|HOUSE OF REPRESENTATIVES,whole_dollar|offcontract,,,,SD CRANE BUILDER INC
VASTCO INC,2,2,142,47132899,91,25685000,0,,3,2,6.5,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,VASTCO INC
SUNLINE CONTRACTING LLC,1,2,34,7342092,21,5403936,0,,1,2,6.5,2016,2022,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,SUNLINE CONTRACTING LLC
"EMSCO, INC.",1,1,1,180419,1,180419,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,"EMSCO, INC."
"PCL CONSTRUCTION\, INC.",1,1,2,1137476,2,1137476,0,,2,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,"PCL CONSTRUCTION\, INC."
FOX ROTHSCHILD LLP,1,1,1,143065,1,143065,0,,1,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,FOX ROTHSCHILD LLP
THE ACCOMAZZO COMPANY,1,1,2,241351,2,241351,0,,2,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,THE ACCOMAZZO COMPANY
"SUNDT/VASTCO\, A JOINT VENTURE",1,1,22,31021766,22,31021766,0,,3,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar,,,,"SUNDT/VASTCO\, A JOINT VENTURE"
"DYSART BELL PROPERTY INVESTORS, LLC",1,1,1,402284,1,402284,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,"DYSART BELL PROPERTY INVESTORS, LLC"
BUESING CORP,1,2,5,1821306,5,1821306,0,,3,2,6.5,2017,2023,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,BUESING CORP
RIMEX INC,1,1,1,136962,1,136962,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,RIMEX INC
THE NEWPORT GROUP 22 LLC,1,1,1,707917,1,707917,0,,1,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,THE NEWPORT GROUP 22 LLC
"RI CS1, LLC",1,1,2,1322396,2,1322396,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,"RI CS1, LLC"
ROADWAY ELECTRIC LLC,1,2,116,28776985,56,12780587,0,,1,2,6.5,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,ROADWAY ELECTRIC LLC
LEEDS AND BRADFORD BOILER CO LTD,1,1,5,953003,4,821417,0,,1,2,6.5,2017,2019,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,LEEDS AND BRADFORD BOILER CO LTD
BLUCOR CONTRACTING INC,1,2,9,4611960,9,4611960,0,,1,2,6.5,2018,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|new_vendor_large,,,,BLUCOR CONTRACTING INC
NEVADA BARRICADE & SIGN COMPANY INC,1,1,2,351579,2,351579,0,,1,2,6.5,2022,2023,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,NEVADA BARRICADE & SIGN COMPANY INC
HAWK CONTRACTING LLC,1,1,21,6169870,20,6004657,0,,1,2,6.5,2024,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar,,,,HAWK CONTRACTING LLC
"STEWART TRANSPORT, INC.",1,1,1,119950,1,119950,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,"STEWART TRANSPORT, INC."
CENTERLINE HOMES LLC,1,1,1,121711,1,121711,0,,1,2,6.5,2022,2022,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,CENTERLINE HOMES LLC
DLR GROUP,1,1,15,2289239,5,660549,0,,1,2,6.5,2020,2025,3,DEPT OF CORRECTIONS|DEPT OF EMERGENCY AND MILITARY AFFAIRS|DEPT OF ADMINISTRATION,offcontract|whole_dollar,,,,DLR GROUP
ARCHER WESTERN CONSTRUCTION LLC,1,1,5,1376141,5,1376141,0,,2,2,6.5,2022,2023,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,ARCHER WESTERN CONSTRUCTION LLC
ALITA CARE LLC,1,1,1,123709,1,123709,0,,1,2,6.5,2023,2023,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,ALITA CARE LLC
AVAYA INC,1,1,1,136122,1,136122,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,AVAYA INC
CEMEX,1,1,4,868381,4,868381,0,,4,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,CEMEX
STILL WATER CONCEPTS LLC,1,1,4,2347740,4,2347740,0,,4,2,6.5,2016,2016,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,STILL WATER CONCEPTS LLC
CALDWELL WATZA CONSTRUCTION,1,1,2,296944,2,296944,0,,2,2,6.5,2023,2023,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,CALDWELL WATZA CONSTRUCTION
CHASE CARSON & WHITE LLC,1,1,6,1670821,6,1670821,0,,3,2,6.5,2024,2025,1,DEPT OF VETERANS SERVICES,offcontract|new_vendor_large|whole_dollar,,,,CHASE CARSON & WHITE LLC
KORRAL KOOL SERVICE INC,1,1,1,109866,1,109866,0,,1,2,6.5,2023,2023,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,KORRAL KOOL SERVICE INC
YAVAPAI APACHE NATION,1,1,1,247066,1,247066,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,YAVAPAI APACHE NATION
HAYDON BUILDING CORP,1,2,195,113737128,129,61322123,0,,1,2,6.5,2016,2024,3,DEPT OF VETERANS SERVICES|DEPT OF TRANSPORTATION|DEPT OF ADMINISTRATION,offcontract|no_contract_named|whole_dollar,,,,HAYDON BUILDING CORP
TRUMPF INC,1,0,2,891817,1,773952,0,,1,2,6.5,2020,2020,1,DEPT OF TRANSPORTATION,whole_dollar,,,,TRUMPF INC
"METCAST SERVICE TECH RESOURCES\, INC.",1,1,1,393188,1,393188,0,,1,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract,,,,"METCAST SERVICE TECH RESOURCES\, INC."
AJP ELECTRIC INC,1,2,28,4496868,25,4029751,0,,4,2,6.5,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,AJP ELECTRIC INC
P W FEENSTRA CONSTRUCTION INC,1,1,2,539660,2,539660,0,,2,2,6.5,2023,2023,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,P W FEENSTRA CONSTRUCTION INC
ERGOFLEX INC.,1,1,1,178231,1,178231,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,ERGOFLEX INC.
EL PASO NATURAL GAS COMPANY L.L.C.,2,2,4,3040966,1,823609,0,,1,2,6.5,2016,2025,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,EL PASO NATURAL GAS COMPANY L.L.C.
EX2 TECHNOLOGY LLC,1,1,9,19625831,9,19625831,0,,1,2,6.5,2024,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|new_vendor_large,,,,EX2 TECHNOLOGY LLC
SOUTHWEST CONCRETE PAVING CO.,2,2,24,5181986,24,5181986,0,,8,2,6.5,2017,2022,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,SOUTHWEST CONCRETE PAVING CO.
"FELIPE PEREZ FARMS, INC.",1,1,2,372829,2,372829,0,,2,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,"FELIPE PEREZ FARMS, INC."
"MPI\, INC.",1,1,5,1012177,5,1012177,0,,3,2,6.5,2018,2018,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,"MPI\, INC."
ENTER THE EARTH INC,1,1,1,163381,1,163381,0,,1,2,6.5,2025,2025,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,ENTER THE EARTH INC
DEL WEBB HOME CONSTRUCTION INC,1,1,1,253431,1,253431,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,DEL WEBB HOME CONSTRUCTION INC
MONARCH LATHES LP,1,1,1,218526,1,218526,0,,1,2,6.5,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,MONARCH LATHES LP
"KE&G CONSTRUCTION, INC.",2,2,41,10410242,11,3027118,0,,3,2,6.5,2016,2022,2,DEPT OF TRANSPORTATION|DEPT OF EMERGENCY AND MILITARY AFFAIRS,offcontract|new_vendor_large,,,,"KE&G CONSTRUCTION, INC."
FALCONE BROTHERS AND ASSOCIATES INC,1,1,5,1227874,5,1227874,0,,5,2,6.5,2021,2021,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,FALCONE BROTHERS AND ASSOCIATES INC
AB DATA LTD,1,0,1,909532,1,909532,0,,1,2,6.0,2019,2019,1,ATTORNEY GENERAL (DEPT OF LAW),peer_outlier,,,,AB DATA LTD
"SUTHERLAND GOVERNMENT SOLUTIONS, INC.",1,1,15,3275888,8,1523894,0,,5,2,6.0,2019,2021,1,SECRETARY OF STATE (DEPT OF STATE),true_duplicate|whole_dollar,,,,"SUTHERLAND GOVERNMENT SOLUTIONS, INC."
WEST PUBLISHING CORP,1,1,7,933176,4,588770,0,,2,2,6.0,2021,2024,1,SUPREME COURT,whole_dollar|true_duplicate,,,,WEST PUBLISHING CORP
SMITH SHURTLIFF AND SMITH,1,1,4,533158,2,313900,0,,1,2,6.0,2024,2025,1,GAME AND FISH DEPARTMENT,whole_dollar|round_100k,,,,SMITH SHURTLIFF AND SMITH
BINGHAM EQUIPMENT COMPANY,2,2,10,1667648,6,1089947,0,,1,2,6.0,2016,2025,3,PARKS BOARD|DEPT OF CORRECTIONS|DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,BINGHAM EQUIPMENT COMPANY
RELIANCE BRUSH MANAGEMENT INC,1,2,14,2038835,13,1878835,0,,1,2,6.0,2016,2025,3,DEPT OF TRANSPORTATION|DEPT OF FORESTRY AND FIRE MANAGEMENT|GAME AND FISH DEPARTMENT,whole_dollar|round_100k|offcontract,,,,RELIANCE BRUSH MANAGEMENT INC
ARIZONA TRUCK CENTER INC,2,2,8,1571113,3,538739,0,,1,2,6.0,2016,2025,1,GAME AND FISH DEPARTMENT,offcontract|whole_dollar,,,,ARIZONA TRUCK CENTER INC
COHEN KENNEDY DOWD & QUIGLEY PC,2,3,21,3216159,5,1048842,0,,1,2,6.0,2018,2023,2,DEPT OF ADMINISTRATION|DEPT OF CHILD SAFETY,offcontract|whole_dollar|round_100k,,,,COHEN KENNEDY DOWD & QUIGLEY PC
FLW & PIMA PLAZA LLC,1,1,1,248238,1,248238,0,,1,2,6.0,2023,2023,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,FLW & PIMA PLAZA LLC
COCONINO COUNTY,1,11,794,244735441,1,400000,0,,1,2,6.0,2016,2025,17,DEPT OF HEALTH SERVICES|DEPT OF FORESTRY AND FIRE MANAGEMENT|SECRETARY OF STATE (DEPT OF STATE)|DEPT OF TRANSPORTATION|STATE TREASURER|DEPT OF EDUCATION|GOVERNOR'S OFFICE|ATTORNEY GENERAL (DEPT OF LAW)|SUPREME COURT|DEPT OF EMERGENCY AND MILITARY AFFAIRS|SCHOOL FACILITIES BOARD|DEPT OF HOUSING|PARKS BOARD|DEPT OF ECONOMIC SECURITY|DEPT OF PUBLIC SAFETY|DEPT OF ADMINISTRATION|CRIMINAL JUSTICE COMMISSION,round_100k,,,,COCONINO COUNTY
RWC INTERNATIONAL LTD,1,1,22,2937776,10,1266599,0,,2,2,6.0,2016,2019,4,DEPT OF TRANSPORTATION|DEPT OF CORRECTIONS|SCHOOLS FOR THE DEAF AND THE BLIND|DEPT OF EMERGENCY AND MILITARY AFFAIRS,offcontract|whole_dollar,,,,RWC INTERNATIONAL LTD
MERCER HEALTH & BENEFITS LLC,1,2,5,523821,3,304220,0,,2,2,6.0,2018,2025,2,AHCCCS|DEPT OF ADMINISTRATION,round_100k|whole_dollar,,,,MERCER HEALTH & BENEFITS LLC
PINNACLE PREVENTION,1,1,58,12449695,8,1178050,0,,3,2,6.0,2020,2025,4,DEPT OF ECONOMIC SECURITY|DEPT OF HOUSING|DEPT OF HEALTH SERVICES|DEPT OF EDUCATION,whole_dollar|round_100k,,,,PINNACLE PREVENTION
UNIVERSITY OF ARIZONA,1,5,1275,1887316907,7,1430031,0,,2,2,6.0,2018,2025,14,DEPT OF AGRICULTURE|UNIVERSITY OF ARIZONA|EARLY CHILDHOOD DEVELOP AND HEALTH BOARD|DEPT OF EDUCATION|GOVERNOR'S OFFICE|DEPT OF ENVIRONMENTAL QUALITY|DEPT OF HEALTH SERVICES|BOARD OF REGENTS|DEPT OF FORESTRY AND FIRE MANAGEMENT|DEPT OF ADMINISTRATION|DEPT OF ECONOMIC SECURITY|AHCCCS|BOARD OF PHARMACY|GAME AND FISH DEPARTMENT,whole_dollar|round_100k,,,,UNIVERSITY OF ARIZONA
HEINFELD MEECH AND CO PC,1,1,2,339875,2,339875,0,,1,2,6.0,2022,2023,1,DEPT OF EDUCATION,round_100k|whole_dollar,,,,HEINFELD MEECH AND CO PC
STATISTICAL RESEARCH INC,1,2,19,2978433,1,300000,0,,1,2,6.0,2018,2021,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,round_100k,,,,STATISTICAL RESEARCH INC
E-LEARN INC,1,1,3,374482,3,374482,0,,1,2,6.0,2023,2025,1,DEPT OF EDUCATION,whole_dollar|round_100k,,,,E-LEARN INC
STATE STREET BANK & TRUST CO,3,2,72,19709228,28,8156049,0,,8,2,6.0,2016,2023,1,ARIZONA STATE RETIREMENT SYSTEM (ASRS),whole_dollar|true_duplicate,,,,STATE STREET BANK & TRUST CO
GAMING LABORATORIES INTERNATIONAL LLC,1,0,2,222418,1,100000,0,,1,2,6.0,2019,2019,1,LOTTERY COMMISSION,round_100k,,,,GAMING LABORATORIES INTERNATIONAL LLC
CANYON STATE BUS SALES INC,1,2,12,2295061,4,661414,0,,1,2,6.0,2016,2024,2,SCHOOLS FOR THE DEAF AND THE BLIND|DEPT OF CORRECTIONS,offcontract|whole_dollar,,,,CANYON STATE BUS SALES INC
INTEGRATED WEB STRATEGY LLC,1,1,1,500000,1,500000,0,,1,2,6.0,2024,2024,1,DEPT OF EDUCATION,round_100k,,,,INTEGRATED WEB STRATEGY LLC
MOBILE CONCEPTS TECHNOLOGY LLC,3,1,30,6488154,4,721032,0,,1,2,6.0,2019,2025,1,DEPT OF PUBLIC SAFETY,offcontract|whole_dollar,,,,MOBILE CONCEPTS TECHNOLOGY LLC
"MORPHOTRUST USA\, INC.",1,1,13,1886388,2,609632,0,,1,2,6.0,2018,2018,1,DEPT OF TRANSPORTATION,whole_dollar|round_100k,,,,"MORPHOTRUST USA\, INC."
"SEMPLE, MARCHAL & COOPER, LLP",1,0,1,250000,1,250000,0,,1,2,6.0,2020,2020,1,BOARD OF ACCOUNTANCY,peer_outlier,,,,"SEMPLE, MARCHAL & COOPER, LLP"
GRANT THORNTON LLP,1,1,4,491870,4,491870,0,,2,2,6.0,2016,2021,3,STATE TREASURER|DEPT OF ADMINISTRATION|DEPT OF REVENUE,round_100k|whole_dollar,,,,GRANT THORNTON LLP
CBRE INC,1,2,6,1118599,6,1118599,0,,5,2,6.0,2019,2023,2,LAND DEPARTMENT|DEPT OF HEALTH SERVICES,round_100k|offcontract,,,,CBRE INC
ROGUE JET BOATWORKS,1,1,1,144460,1,144460,0,,1,2,6.0,2024,2024,1,GAME AND FISH DEPARTMENT,offcontract|whole_dollar,,,,ROGUE JET BOATWORKS
FOUNDATION FOR BLIND CHILDREN,1,2,53,6736584,6,731616,0,,2,2,6.0,2016,2025,1,SCHOOLS FOR THE DEAF AND THE BLIND,offcontract|true_duplicate,,,,FOUNDATION FOR BLIND CHILDREN
MAYO CLINIC ARIZONA,1,1,9,3734544,4,1439337,0,,4,2,6.0,2024,2025,1,BOARD OF NURSING,true_duplicate,,,,MAYO CLINIC ARIZONA
CITY OF PHOENIX,1,14,663,253364319,4,713415,0,,1,2,6.0,2016,2025,23,DEPT OF WATER RESOURCES|DEPT OF FORESTRY AND FIRE MANAGEMENT|DEPT OF TRANSPORTATION|STATE TREASURER|INDUSTRIAL COMMISSION|OFFICE OF ECONOMIC OPPORTUNITY|GOVERNOR'S OFFICE OF HIGHWAY SAFETY|ATTORNEY GENERAL (DEPT OF LAW)|DEPT OF HOMELAND SECURITY|GOVERNOR'S OFFICE|DEPT OF CHILD SAFETY|DEPT OF ENVIRONMENTAL QUALITY|DEPT OF EDUCATION|EARLY CHILDHOOD DEVELOP AND HEALTH BOARD|DEPT OF ECONOMIC SECURITY|DEPT OF PUBLIC SAFETY|SUPREME COURT|DEPT OF HOUSING|DEPT OF EMERGENCY AND MILITARY AFFAIRS|AHCCCS|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA|DEPT OF ADMINISTRATION|CRIMINAL JUSTICE COMMISSION,whole_dollar|round_100k,,,,CITY OF PHOENIX
READ BETTER BE BETTER,1,1,2,542465,1,300000,0,,1,2,6.0,2024,2025,2,GOVERNOR'S OFFICE|DEPT OF EDUCATION,round_100k,,,,READ BETTER BE BETTER
CARDINAL HEALTH 110 LLC,1,1,349,118454604,84,15678789,0,,72,2,6.0,2019,2025,2,DEPT OF CORRECTIONS|DEPT OF HEALTH SERVICES,true_duplicate|whole_dollar,,,,CARDINAL HEALTH 110 LLC
SCOTTSDALE CHARROS INC,1,1,6,912682,1,100000,0,,1,2,6.0,2023,2025,2,DEPT OF EDUCATION|DEPT OF TRANSPORTATION,round_100k,,,,SCOTTSDALE CHARROS INC
EDUCATION FORWARD ARIZONA,1,1,3,1250841,1,300000,0,,1,2,6.0,2022,2024,1,DEPT OF EDUCATION,round_100k,,,,EDUCATION FORWARD ARIZONA
UMOM NEW DAY CENTERS INC,1,2,9,1191197,3,549136,0,,1,2,6.0,2016,2021,3,ATTORNEY GENERAL (DEPT OF LAW)|DEPT OF HOUSING|DEPT OF ECONOMIC SECURITY,whole_dollar|round_100k,,,,UMOM NEW DAY CENTERS INC
"GARBAGE TOURING, INC.",1,1,1,100000,1,100000,0,,1,2,6.0,2017,2017,1,EXPOSITION AND STATE FAIR BOARD,round_100k,,,,"GARBAGE TOURING, INC."
